Time slot,DQNAgent,DoubleDQN,DuelingDQN
446,432.6280818,305.5728863,345.1419133
447,442.673127,317.7197965,362.0462492
448,363.4867123,300.6521803,353.3803023
449,396.8256164,302.6961106,345.4071306
450,412.7385771,299.2517369,356.1180867
451,407.3845996,285.284109,345.6306322
452,383.899392,289.6263965,360.8982865
453,341.2529439,294.1129612,336.1297303
454,368.1827257,281.9145348,362.2694682
455,397.7598509,277.7601727,324.9487633
456,365.570607,296.0206696,336.0087166
457,355.2616777,309.553473,360.3294731
458,391.0693305,309.3407339,359.1637206
459,415.7055862,307.3818525,358.0149464
460,415.3157687,288.7487351,369.2403842
461,372.1060958,266.3365887,342.9662493
462,346.9456037,288.3062521,329.0986461
463,402.8974404,270.8440627,303.6251863
464,427.2930689,274.0300326,327.2367331
465,420.955675,258.3268019,317.539028
466,416.1907103,283.1938116,325.1468602
467,381.6512191,293.2891432,366.4783367
468,342.5995933,266.3951932,300.006244
469,385.1368255,265.8134703,333.3640302
470,356.2554631,281.739745,326.8795224
471,408.5149274,296.9260283,353.8472763
472,362.4827026,294.9866899,329.275369
473,348.6264793,283.8059802,346.1219628
474,392.4954555,275.1233404,354.6309418
475,429.1854224,295.495778,361.7685515
476,368.2235509,244.6384339,317.6135397
477,335.1449162,282.3064303,332.3874827
478,364.4467895,269.4357152,359.6369581
479,402.9327239,284.5537635,376.1802667
480,409.2247001,273.6741291,365.9132683
481,342.2330437,268.5757517,368.5601663
482,319.8699127,271.429495,336.0735528
483,383.6748279,281.7740888,324.0558768
484,329.2759387,283.6050286,335.6237191
485,421.3960788,267.9800498,308.8694939
486,384.4975407,272.6074724,331.1889603
487,364.3928076,266.8638298,354.3890168
488,411.6739928,272.224639,344.6810505
489,380.9940821,251.743165,295.1232688
490,415.7302507,268.8536234,352.1144437
491,417.7581698,269.4862415,369.0864218
492,348.3718746,290.3384534,351.7822031
493,399.0195422,263.08626,329.2695177
494,426.7459521,270.1840234,320.6011503
495,327.9150222,271.0314256,319.0126746
496,370.747279,268.6617114,379.8708753
497,407.5258181,263.5941405,363.5148085
498,380.2331564,280.0433307,326.1751236
499,342.0012339,280.4525905,312.3970263
500,385.3087257,278.8692319,316.2337251
501,330.5687344,276.4775398,302.0778419
502,345.4005251,286.0513522,353.6164754
503,348.624885,282.6755418,312.7513741
504,425.0538606,278.0110117,331.8185106
505,403.916418,264.5435001,371.9127115
506,397.975846,254.9942292,310.0098896
507,383.8792127,276.1185792,334.3803998
508,335.5042547,276.7949632,321.1594362
509,353.7946406,273.9688981,328.1085219
510,389.8067153,268.1104252,373.6183626
511,421.5060812,278.4522937,325.4484575
512,378.8856859,271.8171325,327.9600367
513,362.3538811,263.3135626,318.2253283
514,399.1592628,273.5303007,297.6815769
515,401.1106139,273.5432191,366.8923562
516,399.3290001,271.6503858,350.7203965
517,412.4608833,265.5399305,314.1063761
518,325.4773505,273.9947019,315.918585
519,412.4620383,275.0435029,317.2841704
520,346.31169,264.3305348,303.6991196
521,409.6074357,273.026291,357.3178083
